No;Zeit;Intervall(mi);innen Luftfeuchtigkeit(%);innen Temperatur(°C);außen Luftfeuchtigkeit(%);außen Temperatur(°C);absolut Luftdruck(Hpa);Wind(m/s);Windbö"(m/s);Richtung;relative Luftdruck(Hpa);Taupunkt(°C);Windauskühlung(°C);Stunde Niederschlag(mm);24 Stunde Niederschlag(mm);Woche Niederschlag(mm);Monat Niederschlag(mm);Total Niederschlag(mm);Wind Level(bft);Windbö Level(bft)
140;09-01-2015 07:27;30;45;18.8;84;5.7;995.5;2.0;4.4;NW;1029.6;3.2;4.4;0.0;10.2;11.7;11.7;11.7;2;3
141;09-01-2015 07:57;30;44;18.8;83;5.8;994.8;1.7;3.4;S;1028.9;3.1;5.8;0.0;9.9;11.7;11.7;11.7;2;3
142;09-01-2015 08:27;30;44;18.9;81;6.2;994.6;2.7;3.7;NW;1028.7;3.2;3.2;0.0;9.9;11.7;11.7;11.7;2;3
143;09-01-2015 08:57;30;44;18.9;82;6.4;993.7;5.1;8.5;N;1027.8;3.6;-0.5;0.0;9.6;11.7;11.7;11.7;3;5
144;09-01-2015 09:27;30;44;18.8;80;6.7;993.4;1.7;4.4;SW;1027.5;3.5;6.7;0.0;9.0;11.7;11.7;11.7;2;3
145;09-01-2015 09:57;30;45;18.9;77;7.1;992.7;4.1;5.4;SW;1026.8;3.4;1.7;0.0;8.7;11.7;11.7;11.7;3;3
146;09-01-2015 10:27;30;44;19.0;76;7.4;992.2;2.4;5.8;NWW;1026.3;3.5;5.2;0.0;8.7;11.7;11.7;11.7;2;4
147;09-01-2015 10:57;30;45;18.9;76;7.6;992.2;4.1;6.8;SW;1026.3;3.7;2.3;0.0;8.7;11.7;11.7;11.7;3;4
148;09-01-2015 11:27;30;45;18.9;77;7.5;990.8;4.1;5.8;SSW;1024.9;3.7;2.2;0.0;8.4;11.7;11.7;11.7;3;4
149;09-01-2015 11:57;30;44;18.9;79;7.4;991.5;3.1;6.8;NW;1025.6;4.0;3.7;0.0;8.4;11.7;11.7;11.7;2;4
150;09-01-2015 12:27;30;44;18.9;81;7.4;991.1;1.4;2.0;NNW;1025.2;4.4;7.4;0.0;8.4;11.7;11.7;11.7;1;2
151;09-01-2015 12:57;30;44;18.9;81;7.7;990.5;3.4;4.4;NW;1024.6;4.7;3.5;0.0;8.4;11.7;11.7;11.7;3;3
152;09-01-2015 13:27;30;44;19.0;81;8.0;990.4;4.1;6.1;NNW;1024.5;4.9;2.8;0.0;8.4;11.7;11.7;11.7;3;4
153;09-01-2015 13:57;30;44;19.0;82;8.2;989.5;2.0;4.1;NWW;1023.6;5.3;7.0;0.0;7.8;11.7;11.7;11.7;2;3
154;09-01-2015 14:27;30;44;19.0;81;8.6;989.3;3.7;5.8;NW;1023.4;5.5;4.1;0.0;6.9;11.7;11.7;11.7;3;4
155;09-01-2015 14:57;30;44;19.0;81;8.9;989.4;4.1;5.4;NW;1023.5;5.8;3.9;0.0;6.9;11.7;11.7;11.7;3;3
156;09-01-2015 15:27;30;44;19.1;80;9.2;988.6;3.1;5.1;NWW;1022.7;5.9;5.8;0.0;6.9;11.7;11.7;11.7;2;3
157;09-01-2015 15:57;30;44;19.1;80;9.5;988.8;2.7;5.4;SW;1022.9;6.2;6.9;0.0;6.6;11.7;11.7;11.7;2;3
